Combination,RCE,Unavailability,Best Redundancy,Best Combination,Before Redundancy RCE
"[[1], [2], [3, 4], [5], [6], [7, 8, 9]]",0.017012819539208305,0.001760548504117443,"(2, 3, 2, 2, 3)","[[1], [2, 3], [4], [5, 6], [7, 8, 9]]",0.016931710194955048
"[[1], [2], [3, 4], [5], [6, 7], [8, 9]]",0.016540266000931152,0.001760548504117443,"(3, 2, 2, 2, 3)","[[1, 2], [3], [4], [5, 6], [7, 8, 9]]",0.016931710194955048
"[[1], [2], [3, 4], [5], [6, 7, 8], [9]]",0.017012819539208402,0.001760548504117554,"(2, 2, 2, 3, 3)","[[1], [2], [3, 4], [5, 6, 7], [8, 9]]",0.016931710194955034
"[[1], [2], [3, 4], [5, 6], [7], [8, 9]]",0.016540266000931114,0.001760548504117443,"(2, 3, 2, 3, 2)","[[1], [2, 3], [4], [5, 6, 7], [8, 9]]",0.016931710194955017
"[[1], [2], [3, 4], [5, 6], [7, 8], [9]]",0.016540266000931166,0.001760548504117443,"(3, 2, 2, 3, 2)","[[1, 2], [3], [4], [5, 6, 7], [8, 9]]",0.016931710194955017
"[[1], [2], [3, 4], [5, 6, 7], [8], [9]]",0.01701281953920836,0.001760548504117443,"(2, 2, 3, 2, 3)","[[1], [2], [3, 4, 5], [6, 7], [8, 9]]",0.016931710194955006
"[[1], [2], [3, 4, 5], [6], [7], [8, 9]]",0.01701281953920836,0.001760548504117443,"(2, 3, 2, 2, 3)","[[1], [2, 3, 4], [5], [6, 7], [8, 9]]",0.016931710194955006
"[[1], [2], [3, 4, 5], [6], [7, 8], [9]]",0.017012819539208402,0.001760548504117443,"(3, 2, 2, 2, 3)","[[1, 2, 3], [4], [5], [6, 7], [8, 9]]",0.016931710194955006
"[[1], [2], [3, 4, 5], [6, 7], [8], [9]]",0.01701281953920834,0.001760548504117443,"(2, 3, 3, 2, 2)","[[1], [2, 3], [4, 5, 6], [7], [8, 9]]",0.016931710194954992
"[[1], [2], [3, 4, 5, 6], [7], [8], [9]]",0.017692925481725325,0.001760548504117443,"(2, 3, 2, 2, 3)","[[1], [2, 3, 4], [5, 6], [7], [8, 9]]",0.016931710194954992
"[[1], [2, 3], [4], [5], [6], [7, 8, 9]]",0.017012819539208298,0.001760548504117443,"(3, 2, 3, 2, 2)","[[1, 2], [3], [4, 5, 6], [7], [8, 9]]",0.016931710194954992
"[[1], [2, 3], [4], [5], [6, 7], [8, 9]]",0.016540266000931142,0.001760548504117443,"(3, 2, 2, 2, 3)","[[1, 2, 3], [4], [5, 6], [7], [8, 9]]",0.016931710194954992
"[[1], [2, 3], [4], [5], [6, 7, 8], [9]]",0.01701281953920839,0.001760548504117554,"(2, 3, 2, 2, 3)","[[1, 2], [3, 4, 5], [6], [7], [8, 9]]",0.01693171019495498
"[[1], [2, 3], [4], [5, 6], [7], [8, 9]]",0.016540266000931104,0.001760548504117554,"(3, 2, 2, 2, 3)","[[1, 2, 3], [4, 5], [6], [7], [8, 9]]",0.01693171019495498
"[[1], [2, 3], [4], [5, 6], [7, 8], [9]]",0.016540266000931156,0.0018507472007857073,"(2, 2, 3, 3)","[[1, 2], [3, 4], [5, 6], [7, 8, 9]]",0.016719470894501848
"[[1], [2, 3], [4], [5, 6, 7], [8], [9]]",0.017012819539208347,0.0018507472007857073,"(2, 2, 3, 3)","[[1, 2], [3, 4], [5, 6, 7], [8, 9]]",0.016719470894501848
"[[1], [2, 3], [4, 5], [6], [7], [8, 9]]",0.01654026600093111,0.0018507472007858183,"(2, 3, 2, 3)","[[1, 2], [3, 4, 5], [6, 7], [8, 9]]",0.016719470894501834
"[[1], [2, 3], [4, 5], [6], [7, 8], [9]]",0.016540266000931163,0.0018507472007858183,"(3, 2, 2, 3)","[[1, 2, 3], [4, 5], [6, 7], [8, 9]]",0.016719470894501834
"[[1], [2, 3], [4, 5], [6, 7], [8], [9]]",0.01654026600093109,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5], [6, 7], [8], [9]]",0.01663370583813334
"[[1], [2, 3], [4, 5, 6], [7], [8], [9]]",0.01701281953920834,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5], [6], [7, 8], [9]]",0.016633705838133315
"[[1], [2, 3, 4], [5], [6], [7], [8, 9]]",0.01701281953920836,0.00364848579482957,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5, 6], [7], [8], [9]]",0.01663370583813326
"[[1], [2, 3, 4], [5], [6], [7, 8], [9]]",0.017012819539208402,0.00364848579482957,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4, 5], [6], [7], [8], [9]]",0.01663370583813326
"[[1], [2, 3, 4], [5], [6, 7], [8], [9]]",0.01701281953920834,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3, 4], [5], [6], [7], [8], [9]]",0.01663370583813326
"[[1], [2, 3, 4], [5, 6], [7], [8], [9]]",0.01701281953920834,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2, 3], [4], [5], [6], [7], [8], [9]]",0.01663370583813325
"[[1], [2, 3, 4, 5], [6], [7], [8], [9]]",0.01769292548172528,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1, 2], [3], [4], [5], [6], [7], [8], [9]]",0.01663370583813325
"[[1, 2], [3], [4], [5], [6], [7, 8, 9]]",0.017012819539208298,0.003648485794829681,"(2, 2, 2, 2, 2, 2, 2, 2)","[[1], [2], [3], [4], [5], [6], [7], [8, 9]]",0.016633705838133218
"[[1, 2], [3], [4], [5], [6, 7], [8, 9]]",0.016540266000931142,0.002885012280143595,"(2, 2, 2, 2, 3, 2, 2)","[[1], [2], [3], [4, 5], [6, 7], [8], [9]]",0.016618783185435936
"[[1, 2], [3], [4], [5], [6, 7, 8], [9]]",0.01701281953920839,0.002885012280143706,"(2, 2, 2, 2, 3, 2, 2)","[[1], [2], [3, 4], [5], [6, 7], [8], [9]]",0.016618783185435936
